stars,teks
1,kecewa bangttt
5,bukit jaddih lokasinya di madura jawa timur bukit jaddih adalah sebuah bukit yang unik dan menjadi destinasi wisata populer karena keindahan alamnya keindahan bukit jaddih bukit kapur yang unik dan menarik pemandangan yang indah dan luas fotografi yang menarik dengan latar bukit kapur aktivitas jelajahi bukit dengan berjalan kaki piknik di area yang telah disediakan fotografi dengan latar bukit yang unik bukit jaddih adalah destinasi wisata yang ideal untuk menikmati keindahan alam yang unik
1,banyak pungutan liar sekitar jalan sana sering terjadi begal curanmor
5,tempat wisata alam yang unik karena di sini juga masih ada tambang batu kapur putih yang beroperasi akses jalan ke lokasi masih banyak yang rusak jadi harus hatihati ada biaya parkir kendaraan mobil dan tiket masuk per orang tambahan biaya seikhlasnya untuk tip warga lokal yang bantu wisatawan keliling area bukit jaddih dan mendokumentasikan pakai hp masingmasing wisatawan hari ini ditemani kakak ahsan yang baik dan jago foto semoga pemerintah kota memperhatikan potensi wisata bukit jaddih ini jadi bisa tetap eksis dan terawat hehehe
5,seru sekali tidak nyangka pas kesana nyata sepi sekali tidak ada pengunjung hanya aku berdua sama teman aku
5,sudah pernah kesana cukup bagus wisatanya
5,tempatnya keren ada namanya kakak hasan warlok tukang ambil foto dan video luar biasa pro nya
5,cak hasan oke sekali untuk ambil vidio dan foto serta nentuin titik bagus
1,biasa saja bayarnya mahal tukang parkirnya tidur tiba ngejar pakai motor minta uang parkir jalanannya jelek pemandangannya pun ya standar saja hanya bebatuan jalan masuk diikuti bapak seperti tour guide gitu yang sebetulnya hanya ngintilin sudah tidak ngapangapain
2,di awal sudah bayar per mobil terus di escort masuk ke area bukit kapur sampai di tempat wisata foto terus pas pulang kaget disuruh bayar per orang ribu lagi menurut pendapat aku sih kok agak menjebak yah anyway viewnya sudah berbeda sekarang dan terkesan agak sepi juha
1,sepi tidak ada apanya
2,kurang terawat
5,saat itu masih nyaman kalau mau dingin datang pagi
3,tidak sesuai ekspektasi
3,desinasi alami yang wow sayang tidak terawat warga dan pemangku jabatan bisa sepat untuk perbaiki bisa untuk peningkatan perekonomian warga
5,indah megah harus diselesaikan air di danau tampak berwarna biru kehijauan karena batu kapur dan pantulan cahaya di air pemandangan yang indah satusatunya hal yang perlu diwaspadai adalah penduduk setempat akan bertindak sebagai pemandu wisata mereka akan berusaha banyak berbicara dengan kamu mengambil gambar untuk kamu hanya untuk mendapatkan tip itu agak mengganggu jika tidak tempat yang bagus untuk jalanjalan
5,bagus pesonanya aku suka bangeet suasana alam yang asri bukan seperti bangunan komersil banyak dibuat modern kalau sy suka bangunan asli zaman belandanya itu artistik menurut gaet itu dibangun zaman belanda sy lebih suka natural tapi bersih dirawat jangan dirubah dengan bentuk lain seperti vila atau sejenis penginapan hotel gitu deh nanti keaslian artistiknya hilang terus sy juga suka dengan jl aga adventure gitu seru lanjut liburan mau ajak ibu family kerabat kesini deh
5,lokasinya instagramable tapi perlu dipoles lagi supaya lebih exotis terutama jalan menuju lokasi penunjuk arah ke lokasi belum ada dari jalan utama
3,waktu kesini air nya kering akses jalan masuk perlu di perbaiki berdebu kalau musim panas bekas tambang batu kapur
1,jangan kesini lagi deh tempatnya sudah berantakan dan tidak terurus banyak pungli juga sayang sebenarnya karena masih nampak sisa kejayaannya
5,pagi atau sore waktu yang tempat untuk explore lokasi ini
5,tempatnya indah semacam hidden gem tapi akses menuju ke sana agak sulit harus melewati jalan yang tertutup semacam lumpur pasir atau semacamnya hampir batal karena aksesnya tapi akhirnya sampai juga mantap indah sekali sayangnya aku kesana siang bolong jadi kurang menikmati karena panas baiknya datang pagi atau sore pasti lebih nyaman
5,luar biasa indah takut sekali berdiri pinggir jurang nya gemetar
5,sebagai wahana edukasi tentang pentingnya menjaga lingkungan dan kelestarian alam
2,pengalaman terburuk sebagai perampokan ringan jadi tidak datang
2,tempat yang bagus sayang sudah tidak terawat
5,apapun cerita orang klu kita sendiri tidak membuktikan pasti kurang baik jadi silahkan yang blm pernah berkunjung buktikan sendiri betapa sensasionalnya ciptaan tuhan
1,akses masuk jalannya rusak toilet rusak smua bayar tiket sampai x mahal tapi tidak orthed
5,lokasinya sangat indah dan bagus
1,jalannya kurang terawat seharusnya kalau di jadikan tempat wisata jalan msuknya di perhatikan terus kenapa harus ada punglii di mana sudah jauh malah mengecewakan
4,dulu pernah kesini pas ramenya sekarang agak sepi airnya kering tapi suasananya tetap bagus dan dramatis dengan angle yang tepat
