title,stars,teks,label,hasil_sentimen,hasil_topik
Wisata Aer Mata Ibu Arosbaya,1,kali nyuci bagasi tidak buka blasssssskotorrrrr bagasi kalau buka ketahuan kotor q tidak buka sekali nemeennnn,0,negative,2
Wisata Aer Mata Ibu Arosbaya,5,matap,1,positive,0
Wisata Aer Mata Ibu Arosbaya,5,peziarah ambil air langsung sumber nya yang lorong kebawah sebelah kiri pintu masuk kelestarian terjaga terawat pengunjung seramai,1,positive,1
Wisata Aer Mata Ibu Arosbaya,3,bagus pengemis maksa sekali solusinya ditatap jangan bukapegang dompet abaikan saja,0,negative,-1
Wisata Aer Mata Ibu Arosbaya,5,kemarin kesana sayang tidak masuk karena halangan semoga kalau rombongan kesana lagimasih masuk langsung makamnya,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,1,nya memiliki sejarah menarikdan disayang kurangnya penegasan pengemis pengemis menarik baju pengunjung memaksa uang,0,negative,5
Wisata Aer Mata Ibu Arosbaya,1,pengemis memaksa menarik baju pengunjung,0,negative,5
Wisata Aer Mata Ibu Arosbaya,1,malas lagi karena pngemisnya lumayan maksa kadang nyeloteh karena tempatny sekarang sepi pngunjung padahal rame kyak martajesah,0,negative,2
Wisata Aer Mata Ibu Arosbaya,2,kejelekan malam waliyulloh bnyak iya pengemis,0,positive,1
Wisata Aer Mata Ibu Arosbaya,5,alhamdulilah,1,positive,14
Wisata Aer Mata Ibu Arosbaya,1,pengemis maksa,0,negative,0
Wisata Aer Mata Ibu Arosbaya,1,pengemis maksa jd kapok lagi kesini mengecewakan naek gojek bonceng cedak dari turun bus bayar rb,0,negative,2
Wisata Aer Mata Ibu Arosbaya,5,mengasyikkan,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,view nya bagus sejuk,1,positive,-1
Wisata Aer Mata Ibu Arosbaya,5,keren,1,positive,0
Wisata Aer Mata Ibu Arosbaya,1,pengemis memaksa buruk sekali gapunya etika,0,negative,5
Wisata Aer Mata Ibu Arosbaya,5,wisata religi tapi tidak nyaman pengemisnya suka maksa,1,negative,5
Wisata Aer Mata Ibu Arosbaya,5,padat,1,positive,0
