"title","url","stars","name","reviewUrl","text"
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","4","IDANlas Bancaran","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWRGJGaFZWMjVHTFdOdVZsVXpOVVpyYTE5a1ZuYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOlVDbFhVV25GLWNuVlUzNUZra19kVnc%7C%7C?hl=id","Bubur"
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Moh Holil","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSbE9FSXROMVpHYm14elowazJVazFZYkRGamVGRRAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOkRlOEItN1ZGbmxzZ0k2Uk1YbDFjeFE%7C%7C?hl=id",
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Mauidatul Hasanah (Id)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGWVpWOTFVa1pMT1hrNFVFeERWMUl0TVdSQlpXYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOjFYZV91UkZLOXk4UExDV1ItMWRBZWc%7C%7C?hl=id",
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","mohamad taufik","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWclZIQjZWRVppZW14MUxYZEpVRXM1YTNORFdGRRAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOlVrVHB6VEZiemx1LXdJUEs5a3NDWFE%7C%7C?hl=id",
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","4","Marco Bolten","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOUGFXTlliMEkzYVZCU1ZIazFSakUwUTNGTVFYYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOlNPaWNYb0I3aVBSVHk1RjE0Q3FMQXc%7C%7C?hl=id",
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Shoim Gerbang Madu","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OUmNWcHljR281VkdwU04wUnlVR3N3U1c1aVpIYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOnNRcVpycGo5VGpSN0RyUGswSW5iZHc%7C%7C?hl=id",
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Mukhamad Sufyan s","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wSFZHSjFlVTl0WlhaUlRGUkZhbXBKWW5KWFRHYxAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOnpHVGJ1eU9tZXZRTFRFampJYnJXTGc%7C%7C?hl=id",
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","3","Oceets Torito","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKQ1J6Wm9VSEEzV2pSeVptbG9XRGh1WTIwd2RWRRAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOjJCRzZoUHA3WjRyZmloWDhuY20wdVE%7C%7C?hl=id","Seneng.. ."
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","5","Hendra Cipta Yudi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQwLW9QbDBnRRAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CIHM0ogKEICAgID0-oPl0gE%7C%7C?hl=id",
"Stadion Gelora Bangkalan","https://www.google.com/maps/search/?api=1&query=Stadion%20Gelora%20Bangkalan&query_place_id=ChIJjZA9RJMF2C0RB66DvUvNwEY","4","Musayyadi channel","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkR1RraFZXVmRuUkU1bU1HSlRYMmM1WlVwaWMwRRAB!2m1!1s0x0:0x46c0cd4bbd83ae07!3m1!1s2@1:CAIQACodChtycF9oOjdGTkhVWVdnRE5mMGJTX2c5ZUpic0E%7C%7C?hl=id",
